,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
          Male,"2,560",423,66.1,5.6,2.6,1.6,61.7,6,0.4,0.7,0.4,0.6,0,1,0.4,3.3,0,1,0.6,0.7
          Female,"1,320",257,34.1,5.7,5.2,2.7,26.7,5.3,0,1,0,1,0,1,0.5,3.4,0.4,0.9,1.2,1.2
9130 Driver/sales workers and truck drivers 9130 (SOC 53-3030),"10,495",808,100,0.4,8.6,1.7,74.9,2.7,0.2,0.3,1.2,0.8,0,0.4,1.1,0.7,7,2.2,6.9,1.9
          Male,"9,895",762,94.3,1.7,7.9,1.7,70.4,2.9,0.2,0.3,1.2,0.8,0,0.4,1.1,0.7,6.6,2.1,6.8,1.9
          Female,600,183,5.7,1.6,0.7,0.5,4.5,1.5,0,0.4,0,0.4,0,0.4,0,0.4,0.3,0.4,0.1,0.3
9140 Taxi drivers and chauffeurs 9140 (SOC 53-3041),"2,405",341,100,1.5,6.9,3.7,85.7,5.3,0,1.5,5.2,2.9,0,1.5,0.2,5.3,1.7,1.9,0.2,0.2
          Male,"2,195",345,91.3,4,4,2.4,80,6,0,1.5,5.2,2.9,0,1.5,0.2,5.3,1.7,1.9,0.2,0.2
          Female,205,91,8.5,3.9,2.9,2.7,5.6,2.8,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5
"9150 Motor vehicle operators, all other 9150 (SOC 53-3099)",240,136,100,14.4,0,14.4,79.2,23.4,0,14.4,0,14.4,0,14.4,4.2,53.3,0,14.4,16.7,23.7
          Male,220,135,91.7,10.8,0,14.4,75,23.4,0,14.4,0,14.4,0,14.4,0,14.4,0,14.4,16.7,23.7
          Female,20,24,8.3,10.7,0,14.4,4.2,7.9,0,14.4,0,14.4,0,14.4,4.2,53.3,0,14.4,0,14.4
9200 Locomotive engineers and operators 9200 (SOC 53-4010),205,114,100,16.6,14.6,14.3,85.4,14.9,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Male,180,102,87.8,16.9,14.6,14.3,75.6,19.3,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Female,20,38,9.8,17.1,0,16.6,9.8,17.1,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
9240 Railroad conductors and yardmasters 9240 (SOC 53-4031),65,51,100,39.5,53.8,41.5,46.2,41.4,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
          Male,55,48,84.6,29.1,53.8,41.5,30.8,33.3,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
          Female,10,15,15.4,24.7,0,39.5,15.4,24.7,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5
"9260 Subway, streetcar, and other rail transportation workers 9260 (SOC 53-40XX)",155,98,100,21.3,0,21.3,83.9,24.9,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,16.1,24.8
          Male,100,82,64.5,26.5,0,21.3,48.4,31.9,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,16.1,24.8
          Female,55,46,35.5,26.7,0,21.3,35.5,26.7,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3
"9300 Sailors and marine oilers, and ship engineers 9300 (SOC 53-50XX)",35,46,100,53.8,57.1,57.1,42.9,57.1,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
          Male,35,46,100,53.8,57.1,57.1,42.9,57.1,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
          Female,0,127,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8,0,53.8
9310 Ship and boat captains and operators 9310 (SOC 53-5020),20,37,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,100,71.2,0,71.2
          Male,20,37,100,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,100,71.2,0,71.2
          Female,0,127,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
9350 Parking lot attendants 9350 (SOC 53-6021),760,230,100,4.8,4.6,5.4,78.3,11.7,0,4.8,0,4.8,0,4.8,7.2,18.1,7.9,7.8,2,3.8
          Male,700,207,92.1,6.6,4.6,5.4,70.4,12.6,0,4.8,0,4.8,0,4.8,7.2,18.1,7.9,7.8,2,3.8
          Female,60,57,7.9,6.6,0,4.8,7.9,6.6,0,4.8,0,4.8,0,4.8,0,4.8,0,4.8,0,4.8
9360 Automotive and watercraft service attendants 9360 (SOC 53-6031),215,99,100,15.9,25.6,18.4,51.2,22.9,0,15.9,14,19.1,0,15.9,0,15.9,9.3,13,0,15.9
          Male,200,95,93,11,18.6,15.6,51.2,22.9,0,15.9,14,19.1,0,15.9,0,15.9,9.3,13,0,15.9
          Female,15,26,7,11.3,7,11.3,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9
9410 Transportation inspectors 9410 (SOC 53-6051),125,79,100,25.5,44,36.4,56,35.8,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
          Male,105,76,84,21,44,36.4,40,32.8,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
          Female,20,26,16,21.3,0,25.5,16,21.3,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
"9415 Transportation attendants, except flight attendants 9415 (SOC 53-6061)",470,196,100,7.7,8.5,8.3,84,13.7,0,7.7,5.3,9.4,0,7.7,2.1,27.2,0,7.7,0,7.7
          Male,175,101,37.2,18,0.9,3.2,30.9,17.7,0,7.7,5.3,9.4,0,7.7,0,7.7,0,7.7,0,7.7
          Female,295,162,62.8,18.4,7.4,7.5,53.2,19.8,0,7.7,0,7.7,0,7.7,2.1,27.2,0,7.7,0,7.7
"9420 Miscellaneous transportation workers, including bridge and lock tenders and traffic technicians 9420 (SOC 53-60XX)",85,59,100,33.9,0,33.9,64.7,37.5,0,33.9,4.7,4,0,33.9,0,33.9,35.3,36.2,0,33.9
          Male,85,59,100,33.9,0,33.9,64.7,37.5,0,33.9,4.7,4,0,33.9,0,33.9,35.3,36.2,0,33.9
          Female,0,127,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9
9510 Crane and tower operators 9510 (SOC 53-7021),40,33,100,50.4,10,14.3,50,46.8,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,37.5,41.4
          Male,40,33,100,50.4,10,14.3,50,46.8,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,37.5,41.4
          Female,0,127,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
"9520 Dredge, excavating, and loading machine operators 9520 (SOC 53-7030)",45,41,100,47.5,0,47.5,66.7,42.9,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,22.2,43.9
          Male,45,41,100,47.5,0,47.5,66.7,42.9,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,22.2,43.9
          Female,0,127,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
"9560 Conveyor operators and tenders, and hoist and winch operators 9560 (SOC 53-70XX)",25,24,100,63.7,40,60,60,60,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Male,20,24,80,52,40,60,40,51.4,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Female,4,127,16,26.2,0,63.7,16,26.2,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
9600 Industrial truck and tractor operators 9600 (SOC 53-7051),985,219,100,3.7,8.6,6.4,80.7,10.2,0,3.7,0,3.7,0,3.7,0,3.7,9.6,7.9,1.5,2.9
          Male,920,209,93.4,6.1,6.1,5.3,75.6,11.2,0,3.7,0,3.7,0,3.7,0,3.7,9.6,7.9,1.5,2.9
          Female,70,59,7.1,5.7,2.5,2.8,4.6,5.3,0,3.7,0,3.7,0,3.7,0,3.7,0,3.7,0,3.7
9610 Cleaners of vehicles and equipment 9610 (SOC 53-7061),"1,060",237,100,3.5,6.1,4.7,65.1,11.4,0,3.5,0,3.5,0,3.5,0,3.5,14.6,8.5,14.2,7.7
          Male,895,213,84.4,7.8,4.7,3.6,60.8,11.5,0,3.5,0,3.5,0,3.5,0,3.5,9.9,5.5,9,7.1
          Female,165,92,15.6,7.7,1.9,2.3,4.2,5.8,0,3.5,0,3.5,0,3.5,0,3.5,4.7,5.5,4.7,4.4
"9620 Laborers and freight, stock, and material movers, hand 9620 (SOC 53-7062)","5,480",585,100,0.7,9.2,2.7,67.3,4.9,0.4,0.5,3.2,1.6,0,0.7,2.1,2.8,4.4,2.6,13.3,3.5
          Male,"4,775",541,87.1,3.1,8.8,2.7,59.6,4.8,0.4,0.5,2.8,1.5,0,0.7,0.6,2.4,3,2.1,11.9,3.2
          Female,705,186,12.9,3.1,0.5,0.5,7.8,2.4,0,0.7,0.4,0.6,0,0.7,1.5,2.4,1.4,1.4,1.5,1.2
"9640 Packers and packagers, hand 9640 (SOC 53-7064)","1,040",253,100,3.5,6.3,5.1,34.6,13.8,0,3.5,0,3.5,0,3.5,1,12.3,26.4,11.1,32.2,12.5
          Male,330,153,31.7,12.2,0,3.5,19.7,11.4,0,3.5,0,3.5,0,3.5,0,3.5,6.7,7.1,5.3,5.2
          Female,710,210,68.3,12.3,6.3,5.1,14.9,7.5,0,3.5,0,3.5,0,3.5,1,12.3,19.7,9.1,26.4,12.9
9720 Refuse and recyclable material collectors 9720 (SOC 53-7081),615,198,100,5.9,10.6,9.5,38.2,16.6,0,5.9,0,5.9,0,5.9,11.4,22.9,9.8,10.1,30.1,20.8
          Male,590,197,95.9,4.7,10.6,9.5,37.4,16.3,0,5.9,0,5.9,0,5.9,11.4,9.9,7.3,8.8,30.1,20.8
          Female,25,30,4.1,5,0,5.9,0.7,2.2,0,5.9,0,5.9,0,5.9,0,5.9,2.4,4.9,0,5.9
"9750 Miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders 9750 (SOC 53-71XX)",155,124,100,21.3,0,21.3,100,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3
          Male,130,114,83.9,22.8,0,21.3,83.9,22.8,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3
          Female,25,36,16.1,22.8,0,21.3,16.1,22.8,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3
"9920 Unemployed, no work experience in the last 5 years or most recent job was in a military-specific occupation 9920 (SOC 55-0000, or no SOC equivalent)","6,500",547,100,0.6,8.4,2.6,67.6,4.9,0,0.6,3.8,1.7,0,0.6,0.7,2,6.3,2.5,13.2,3.9
          Male,"3,000",414,46.2,5,5.2,2.3,34.1,4,0,0.6,1.1,1.1,0,0.6,0.4,2,1.3,1,4.2,2.1
          Female,"3,500",439,53.8,5.1,3.2,1.5,33.6,5.1,0,0.6,2.8,1.4,0,0.6,0.2,2,5,2.1,9,3.5
